
Duck ID: 234447
(-106.96248626708984, 53.56439208984375)
(-106.96244049072266, 53.564266204833984)
(-106.96228790283205, 53.5644416809082)
(-106.96259307861328, 53.56447982788086)
(-106.96240234375, 53.56434631347656)
(-106.96253967285156, 53.5643310546875)
(-106.96247100830078, 53.564544677734375)
(-106.9625015258789, 53.564266204833984)
(-106.96269989013672, 53.56465530395508)
(-106.96292114257812, 53.56455612182617)
(-106.96238708496094, 53.5643424987793)
(-106.96267700195312, 53.56451416015625)
(-106.9625244140625, 53.564598083496094)
(-106.9626235961914, 53.56441116333008)
(-106.96288299560548, 53.56463241577149)
(-106.96275329589844, 53.56458282470703)
(-106.96294403076172, 53.564571380615234)
(-106.96269989013672, 53.56444549560547)
(-106.96283721923828, 53.56461715698242)
(-106.9626693725586, 53.564456939697266)
(-106.96253967285156, 53.56427383422851)
(-106.96241760253906, 53.56455612182617)
(-106.9625015258789, 53.56459045410156)
(-106.9625015258789, 53.564300537109375)
(-106.962158203125, 53.564266204833984)
(-106.9625473022461, 53.56440734863281)
(-106.96289825439452, 53.564666748046875)
(-106.96266174316406, 53.56456756591797)
(-106.96269989013672, 53.56453323364258)
(-106.96275329589844, 53.564395904541016)
(-106.9629364013672, 53.56471252441406)
(-106.9624481201172, 53.56410217285156)
(-106.96278381347656, 53.56477355957031)
(-106.962646484375, 53.56453704833984)
(-106.96246337890624, 53.564414978027344)
(-106.96260833740234, 53.56431579589844)
(-106.96286010742188, 53.56444549560547)
(-106.96260833740234, 53.56430435180664)
(-106.96247100830078, 53.56429672241211)
(-106.96240997314452, 53.56429290771485)
(-106.96243286132812, 53.56432342529297)
(-106.96238708496094, 53.564327239990234)
(-106.9623794555664, 53.564334869384766)
(-106.96245574951172, 53.56452941894531)
(-106.96249389648438, 53.56416702270508)
(-106.9622573852539, 53.56440353393555)
(-106.96249389648438, 53.56431579589844)
(-106.96249389648438, 53.5645637512207)
(-106.96244049072266, 53.564720153808594)
(-106.96251678466795, 53.56441116333008)
(-106.96217346191406, 53.564666748046875)
(-106.96287536621094, 53.56463623046875)
(-106.96292114257812, 53.564552307128906)
(-106.96255493164062, 53.56462860107422)
(-106.9624252319336, 53.56447219848633)
(-106.9626007080078, 53.56462097167969)
(-106.96298217773438, 53.564453125)
(-106.9624252319336, 53.56434631347656)
(-106.96270751953124, 53.564430236816406)
(-106.9626693725586, 53.56443786621094)
(-106.96261596679688, 53.564476013183594)
(-106.96243286132812, 53.564247131347656)
(-106.9623031616211, 53.564300537109375)
(-106.96244049072266, 53.56432342529297)
(-106.96246337890624, 53.564327239990234)
(-106.9621810913086, 53.56391906738281)
(-106.96246337890624, 53.56428146362305)
(-106.96247863769533, 53.5643424987793)
(-106.96246337890624, 53.5643196105957)
(-106.96239471435548, 53.564239501953125)
(-106.96276092529295, 53.56432342529297)
(-106.9626007080078, 53.56452560424805)
(-106.96266174316406, 53.56441879272461)
(-106.9627914428711, 53.56423568725586)
(-106.96240234375, 53.56425476074219)
(-106.96292114257812, 53.5645637512207)
(-106.96240997314452, 53.56471633911133)
(-106.9627685546875, 53.56434631347656)
(-106.96240997314452, 53.56459426879883)
(-106.96272277832033, 53.56439971923828)
(-106.96278381347656, 53.56422424316406)
(-106.96256256103516, 53.5640869140625)
(-106.9627456665039, 53.56665802001953)
(-106.96263885498048, 53.564453125)
(-106.96273803710938, 53.564598083496094)
(-106.96246337890624, 53.564308166503906)
(-106.96240997314452, 53.56431579589844)
(-106.96243286132812, 53.56431579589844)
(-106.96247100830078, 53.56430435180664)
(-106.96259307861328, 53.56434631347656)
(-106.96239471435548, 53.5645637512207)
(-106.96253204345705, 53.564208984375)
(-106.96263885498048, 53.56447219848633)
(-106.96246337890624, 53.564395904541016)
(-106.96263885498048, 53.56440353393555)
(-106.96243286132812, 53.56438827514648)
(-106.96247863769533, 53.564453125)
(-106.9626007080078, 53.56459045410156)
(-106.96253967285156, 53.56430435180664)
(-106.9625473022461, 53.564476013183594)
(-106.96280670166016, 53.564361572265625)
(-106.96302032470705, 53.56435775756836)
(-106.9627914428711, 53.56435012817383)
(-106.96251678466795, 53.56448745727539)
(-106.9622802734375, 53.56473922729492)
(-106.96273803710938, 53.564361572265625)
(-106.9625244140625, 53.564483642578125)
(-106.9622802734375, 53.56425857543945)
(-106.96276092529295, 53.56431579589844)
(-106.9629135131836, 53.56441879272461)
(-106.96247100830078, 53.56433868408203)
(-106.9624481201172, 53.56429672241211)
